xplane,yplane,xrocket,yrocket,vc,xnc,rtm,time
40205.73,11999.99,5592.783,2335.611,3951.02929308219,3229.12198086589,35986.7257494532,
40232.43,11999.99,5640.374,2354.619,3951.15365559758,3225.07798105251,35962.5501679015,
40261.43,11999.99,5685.875,2372.724,3951.28523587185,3220.7934219671,35939.5474175085,
40290.75,12000.01,5732.721,2391.364,3951.41440708785,3216.58143040566,35919.1054430086,
40322.62,12000.01,5780.076,2410.187,3951.55194562197,3212.09017227239,35899.6847939063,
40356.54,12000.01,5825.932,2428.354,3951.69525589189,3207.40336002886,35881.6972455523,
40389.36,12000.01,5872.796,2446.912,3951.83337294979,3202.87951889772,35864.2899769102,
40422.91,12000.01,5919.044,2465.183,3951.97437236777,3198.25428659272,35846.5034902962,
40456,12000.01,5966.492,2483.923,3952.11302890073,3193.69899835069,35828.9579508345,
40489.95,12000.01,6012.682,2502.111,3952.25517066515,3189.022066057,35810.9633564385,
40522.99,12000.01,6058.7,2520.198,3952.39292590487,3184.48253407961,35793.4547371577,
40555.89,12000.01,6105.214,2538.462,3952.52978199728,3179.96584753174,35776.0171361047,
40589.15,12000.01,6151.93,2556.78,3952.66786459647,3175.4017992635,35758.3981413215,
40622.55,12000.01,6198.536,2575.022,3952.80623562258,3170.82125224035,35740.7076210219,
40655.86,12000.01,6246.045,2593.606,3952.94390219906,3166.25707541807,35723.0669440517,
40689.81,12000.01,6292.597,2611.766,3953.08404793772,3161.6035536522,35705.0888585426,
40723.07,12000.01,6339.001,2629.836,3953.22081547489,3157.05521808633,35687.4799104785,
40756.21,12000.01,6385.312,2647.839,3953.35676762087,3152.52712960195,35669.9342394875,
40789.28,12000.01,6432.071,2665.997,3953.49208023407,3148.0135115923,35652.4314192476,
40822.66,12000.01,6478.958,2684.176,3953.62846325333,3143.45726316546,35634.7652779564,
40856.13,12000.01,6526.377,2702.543,3953.76486597927,3138.89337245656,35617.0579272613,
40889.98,12000.01,6572.748,2720.454,3953.90258292703,3134.2783925167,35599.1526580557,
40923.06,12000.01,6619.122,2738.337,3954.03667938507,3129.77783601237,35581.6519807042,
40956.14,12000,6665.749,2756.293,3954.17046573405,3125.28087196223,35564.1572348773,
40989.39,12000,6713.189,2774.55,3954.30466075271,3120.76330287195,35546.5738010193,
41023.23,12000,6760.545,2792.742,3954.44100013083,3116.16647018483,35528.6875617981,
41056.99,12000,6806.341,2810.275,3954.57672722769,3111.58316649315,35510.8418812548,
41089.63,12000,6852.968,2828.115,3954.70734569537,3107.16564134369,35493.5915488149,
41122.86,12000,6899.912,2846.053,3954.84016457719,3102.66689758232,35476.0324852193,
41156.3,12000,6946.622,2863.869,3954.97359276872,3098.14058123637,35458.3592780864,
41189.58,12000,6993.306,2881.645,3955.10595891882,3093.64339514467,35440.7810833117,
41222.83,12000,7039.757,2899.299,3955.23790413185,3089.15364328282,35423.2207551814,
41255.9,12000,7087.096,2917.278,3955.36881373539,3084.69232515293,35405.7523028752,
41289.61,12000,7134.32,2935.182,3955.50204913872,3080.14475442815,35387.9565966557,
41323.22,12000,7180.919,2952.809,3955.63458972664,3075.61387095866,35370.2115566628,
41356.38,12000,7228.22,2970.685,3955.76491475619,3071.15186100478,35352.7059604039,
41390.04,12000,7274.255,2988.03,3955.89698076672,3066.62326927328,35334.9437043217,
41422.78,12000,7321.079,3005.66,3956.02494927139,3062.22845547537,35317.6640324829,
41456.08,12000,7367.864,3023.245,3956.15493186783,3057.75766398571,35300.0927684338,
41489.35,12000,7415.451,3041.118,3956.28444918136,3053.29602201277,35282.5428501388,
41523.18,12000,7461.84,3058.49,3956.41600377941,3048.75716421978,35264.6988376245,
41556.16,12000,7509.273,3076.245,3956.54369244937,3044.34487723065,35247.3091720003,
41589.86,12000,7555.547,3093.515,3956.67409526399,3039.83184802388,35229.533920724,
41622.74,12000,7601.811,3110.753,3956.80076738139,3035.441173384,35212.2012137711,
41655.61,11999.99,7650.813,3129.037,3956.9271010452,3031.05556699515,35194.8789463819,
41690.42,11999.99,7696.438,3145.969,3957.06110088845,3026.39652878214,35176.532505882,
41722.81,11999.99,7743.648,3163.491,3957.18492588717,3022.08454523297,35159.4607283796,
41756.33,11999.99,7791.074,3181.069,3957.31298252011,3017.61838866871,35141.8011686389,
41790,11999.99,7837.721,3198.315,3957.44133285197,3013.13500605926,35124.0663062901,
41823.1,11999.99,7884.519,3215.591,3957.56711492279,3008.73452236527,35106.63056905,
41856.31,11999.99,7931.11,3232.76,3957.69298655403,3004.32412460643,35089.1446105341,
41889.36,11999.98,7979.771,3250.703,3957.81794903676,2999.93884294903,35071.741464619,
41923.88,11999.98,8025.845,3267.614,3957.94852564872,2995.34933949304,35053.5674146617,
41956.55,11999.98,8072.218,3284.614,3958.0713647587,2991.02504064991,35036.370739442,
41989.43,11999.98,8119.035,3301.757,3958.19470952446,2986.67632476595,35019.0657132962,
42022.62,11999.98,8166.011,3318.934,3958.31900785026,2982.28725308022,35001.6014849534,
