xplane,yplane,xrocket,yrocket,vc,xnc,xnt,rtm,time,XNC (G)
32681.86,11963.52,10298.23,3651.622,3354.095404,3572.129062,-0.651065668,23923.70651,3.6512324,110.9356851
32647.75,11962.66,10349.03,3655.523,3332.739901,3559.572339,-0.656190042,23844.79684,3.6684881,110.5457248
32614.78,11961.82,10398.16,3659.146,3311.118382,3546.82761,-0.661144373,23764.64248,3.6849298,110.1499258
32581.41,11960.97,10447.91,3662.712,3289.214903,3533.630398,-0.666160143,23685.78885,3.7017624,109.7400745
32546.8,11960.06,10499.47,3666.335,3267.07234,3520.379919,-0.671360932,23605.23797,3.7189966,109.3285689
32514.43,11959.2,10547.75,3669.568,3244.679204,3506.722742,-0.676226533,23525.08677,3.7354849,108.904433
32481.15,11958.31,10597.36,3672.822,3222.027729,3492.502378,-0.681227748,23447.33211,3.751879,108.4628068
32446.08,11957.36,10649.68,3676.216,3199.190157,3478.426503,-0.686502991,23366.64494,3.7695224,108.0256678
32413.25,11956.45,10698.64,3679.254,3176.150147,3464.082427,-0.691437589,23285.52088,3.7862878,107.5801996
32381.11,11955.55,10746.59,3682.14,3152.872473,3448.950014,-0.696268901,23208.32679,3.8021823,107.1102489
32346.87,11954.58,10797.66,3685.206,3129.430597,3433.739554,-0.701415807,23130.17355,3.8194977,106.6378744
32314.03,11953.62,10846.65,3688.055,3105.847721,3418.475431,-0.706352084,23050.39618,3.8356963,106.1638333
32280.34,11952.64,10896.89,3690.951,3082.102029,3402.836853,-0.711415298,22971.86574,3.8522574,105.6781631
32247.1,11951.66,10946.49,3693.759,3058.235134,3387.073022,-0.716412175,22892.5915,3.8695178,105.1886032
32213.57,11950.65,10996.53,3696.569,3034.247216,3371.052857,-0.721454256,22813.70414,3.8864152,104.6910825
32180.51,11949.62,11045.86,3699.305,3010.159691,3354.81737,-0.726424542,22734.86869,3.9026409,104.1868748
32146.8,11948.57,11096.19,3702.1,2985.988524,3338.403254,-0.731495734,22656.12563,3.9194222,103.6771197
32113.46,11947.52,11145.94,3704.851,2961.759812,3321.895408,-0.736508425,22576.82256,3.9362212,103.1644537
32079.79,11946.46,11196.19,3707.645,2937.478642,3305.204811,-0.74157164,22497.77875,3.9528639,102.6461121
32045.64,11945.36,11247.15,3710.508,2913.17636,3288.501443,-0.74670637,22417.83617,3.9702027,102.127374
32012.29,11944.27,11296.91,3713.31,2888.857967,3271.642482,-0.751720461,22337.99959,3.9873124,101.6038038
31979.61,11943.19,11345.71,3716.076,2864.521149,3254.421412,-0.756636025,22259.93435,4.003518,101.0689879
